,Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,RSI_16
613,613,5/28/2025 2:00,3308.27,3310.44,3298.82,3301.42,158,0.002062749,0.002186938,-0.000448292,2.73e-05,-0.001599312,range,90.0,-1.0,-1.0,-1.0,54.604115798964926
614,614,5/28/2025 3:00,3302.42,3311.27,3300.74,3302.24,153,-0.000248316,0.00181392,0.000142328,0.000290712,-0.002616406,range,91.0,-1.0,-1.0,-1.0,57.766990289600464
615,615,5/28/2025 4:00,3301.96,3303.64,3291.96,3297.18,155,0.001534645,0.001285947,0.003475697,0.002123026,-0.002772066,upward,92.0,-1.0,-1.0,-1.0,58.29100144968687
616,616,5/28/2025 5:00,3297.59,3298.56,3294.42,3296.31,158,0.000263931,0.001798981,0.003616165,0.001237748,-0.00097685,upward,90.0,-1.0,-1.0,-1.0,53.160581074105586
617,617,5/28/2025 6:00,3296.22,3309.7,3296.09,3307.74,159,-0.003455532,-0.003192512,-0.00191067,-0.002358106,-0.003912037,range,89.0,-1.0,-1.0,-1.0,60.66600725194421
618,618,5/28/2025 7:00,3307.26,3308.03,3298.55,3307.86,159,-3.63e-05,-0.003491683,-0.001698984,-0.001556898,-0.002421505,range,,,,,57.18643459372909
619,619,5/28/2025 8:00,3307.79,3322.11,3306.28,3318.65,159,-0.003251322,-0.003287481,-0.006469498,-0.003016287,-0.007614542,range,,,,,71.04079933199598
620,620,5/28/2025 9:00,3319.09,3323.51,3315.48,3321.73,154,-0.000927228,-0.004175535,-0.007652639,-0.004064147,-0.00728235,downward,,,,,70.51042902979836
621,621,5/28/2025 10:00,3321.52,3325.06,3320.75,3323.88,155,-0.000646834,-0.001573462,-0.004855771,-0.006757163,-0.006730087,downward,,,,,69.5713035851042
622,622,5/28/2025 11:00,3324.13,3324.27,3311.89,3312.62,155,0.003399122,0.002750089,-0.001436929,-0.003133471,-0.002843671,range,89.0,-1.0,1.0,1.0,57.05935251661741
623,623,5/28/2025 12:00,3312.41,3314.76,3307.44,3310.65,157,0.000595049,0.003996194,0.002416444,-0.004068687,-0.001954299,range,88.0,-1.0,1.0,1.0,54.77772854692619
624,624,5/28/2025 13:00,3311.73,3313.84,3305.84,3312.01,159,-0.000410627,0.000184178,0.002934774,-0.004740324,-0.003508444,downward,89.0,-1.0,1.0,1.0,58.90012254757634
625,625,5/28/2025 14:00,3311.14,3315.76,3299.4,3304.73,151,0.002202903,0.001791372,0.005794725,0.000910816,-0.001449438,downward,97.0,,,,53.32131465697802
626,626,5/28/2025 15:00,3304.29,3308.66,3300.73,3302.3,154,0.000735851,0.002940375,0.003125095,0.001683675,0.000124156,range,97.0,1.0,1.0,-1.0,49.71436533259669
627,627,5/28/2025 16:00,3301.94,3302.37,3292.9,3295.87,155,0.001950926,0.002688213,0.0044844,0.00691168,0.003874546,downward,95.0,1.0,1.0,-1.0,41.165075410739405
628,628,5/28/2025 17:00,3296.08,3298.71,3289.52,3293.22,158,0.000804684,0.00275718,0.005705662,0.008657181,0.004557849,range,90.0,-1.0,1.0,-1.0,39.927526505651684
629,629,5/28/2025 18:00,3293.5,3298.79,3290.5,3296.46,158,-0.000982873,-0.00017898,0.002508752,0.008318014,0.001504644,downward,89.0,-1.0,1.0,-1.0,46.50408796060887
630,630,5/28/2025 19:00,3296.47,3302.63,3296.46,3302.07,160,-0.001698934,-0.002680137,6.97e-05,0.003194966,5.15e-05,downward,96.0,1.0,1.0,-1.0,49.88775914327478
631,631,5/28/2025 20:00,3301.57,3302.58,3294.12,3296.88,158,0.001574216,-0.000127393,-0.00030635,0.004176676,9.1e-05,downward,,,,,49.802267333513456
